start_survey,Latitude,Longitude,Altitude,Accuracy,Surveyor_ID,Surveyor_ID_other,Start_sampling,Found_pellets,End_sampling,Time_to_scat,Barcode,Suspected_organism,Season/survey,Cq(IS2404),QPCR result
,-38.34068626,144.7266842,,,,,,1,,NA,SORR004,1,Summer,NEG,IS2404_NEG
,-38.34033234,144.7277523,,,,,,1,,NA,SORR005,2,Summer,NEG,IS2404_NEG
,-38.33937663,144.7280652,,,,,,1,,NA,SORR006,1,Summer,27.95,IS2404_POS
,-38.33924561,144.7300517,,,,,,1,,NA,SORR007,1,Summer,NEG,IS2404_NEG
,-38.33855144,144.7268605,,,,,,1,,NA,SORR009,1,Summer,NEG,IS2404_NEG
,-38.34196068,144.7301194,,,,,,1,,NA,SORR011,1,Summer,33.41,IS2404_POS
,-38.34217846,144.7318807,,,,,,1,,NA,SORR012,1,Summer,NEG,IS2404_NEG
,-38.34325336,144.7310845,,,,,,1,,NA,SORR013,1,Summer,NEG,IS2404_NEG
,-38.34144212,144.7327584,,,,,,1,,NA,SORR014,1,Summer,NEG,IS2404_NEG
,-38.34119966,144.730768,,,,,,1,,NA,SORR015,1,Summer,NEG,IS2404_NEG
,-38.34103853,144.7291225,,,,,,1,,NA,SORR016,1,Summer,NEG,IS2404_NEG
,-38.34029354,144.7305886,,,,,,1,,NA,SORR017,1,Summer,35.43,IS2404_POS
,-38.33988728,144.7328956,,,,,,1,,NA,SORR018,1,Summer,NEG,IS2404_NEG
,-38.3399377,144.7342181,,,,,,1,,NA,SORR019,1,Summer,NEG,IS2404_NEG
,-38.33988852,144.7358413,,,,,,1,,NA,SORR020,1,Summer,29.33,IS2404_POS
,-38.33890798,144.7358149,,,,,,1,,NA,SORR021,1,Summer,31.09,IS2404_POS
,-38.34089929,144.7355739,,,,,,1,,NA,SORR022,1,Summer,NEG,IS2404_NEG
,-38.34217225,144.7341556,,,,,,1,,NA,SORR023,1,Summer,28.79,IS2404_POS
,-38.34092219,144.7368129,,,,,,1,,NA,SORR025,1,Summer,NEG,IS2404_NEG
,-38.34481167,144.7331543,,,,,,1,,NA,SORR029,1,Summer,NEG,IS2404_NEG
,-38.34715215,144.7414183,,,,,,1,,NA,SORR030,1,Summer,NEG,IS2404_NEG
,-38.34845549,144.7414777,,,,,,1,,NA,SORR031,1,Summer,NEG,IS2404_NEG
,-38.34975592,144.7397925,,,,,,1,,NA,SORR032,1,Summer,NEG,IS2404_NEG
,-38.34878427,144.7437914,,,,,,1,,NA,SORR033,1,Summer,NEG,IS2404_NEG
,-38.35020547,144.7427607,,,,,,1,,NA,SORR034,1,Summer,33.21,IS2404_POS
,-38.35119209,144.7415412,,,,,,1,,NA,SORR035,1,Summer,30.80,IS2404_POS
,-38.3733488,144.7728196,,,,,,1,,NA,SORR036,1,Summer,33.76,IS2404_POS
,-38.33507104,144.7269178,,,,,,1,,NA,SORR161,1,Summer,NEG,IS2404_NEG
,-38.33551099,144.7287451,,,,,,1,,NA,SORR162,1,Summer,NEG,IS2404_NEG
,-38.33492751,144.7314015,,,,,,1,,NA,SORR163,1,Summer,NEG,IS2404_NEG
,-38.33625773,144.7325848,,,,,,1,,NA,SORR164,1,Summer,32.74,IS2404_POS
,-38.3359341,144.7308242,,,,,,1,,NA,SORR165,1,Summer,NEG,IS2404_NEG
,-38.33564413,144.7294133,,,,,,1,,NA,SORR166,1,Summer,NEG,IS2404_NEG
,-38.33728198,144.7323388,,,,,,1,,NA,SORR167,1,Summer,31.57,IS2404_POS
,-38.33715777,144.730945,,,,,,1,,NA,SORR168,1,Summer,28.30,IS2404_POS
,-38.3366306,144.7289618,,,,,,1,,NA,SORR169,1,Summer,NEG,IS2404_NEG
,-38.33641546,144.7275788,,,,,,1,,NA,SORR170,1,Summer,NEG,IS2404_NEG
,-38.33624928,144.7265567,,,,,,1,,NA,SORR171,1,Summer,NEG,IS2404_NEG
,-38.33789778,144.7314449,,,,,,1,,NA,SORR172,1,Summer,NEG,IS2404_NEG
,-38.33815439,144.730166,,,,,,1,,NA,SORR173,1,Summer,NEG,IS2404_NEG
,-38.33785028,144.7282977,,,,,,1,,NA,SORR174,1,Summer,NEG,IS2404_NEG
,-38.33731196,144.7265238,,,,,,1,,NA,SORR175,1,Summer,34.04,IS2404_POS
,-38.33597089,144.7341563,,,,,,1,,NA,SORR176,1,Summer,NEG,IS2404_NEG
,-38.3374636,144.7349412,,,,,,1,,NA,SORR177,1,Summer,NEG,IS2404_NEG
,-38.33882736,144.734453,,,,,,1,,NA,SORR178,1,Summer,NEG,IS2404_NEG
,-38.33804183,144.733108,,,,,,1,,NA,SORR179,1,Summer,30.62,IS2404_POS
,-38.3368205,144.7329794,,,,,,1,,NA,SORR180,1,Summer,28.37,IS2404_POS
,-38.33865179,144.731969,,,,,,1,,NA,SORR181,1,Summer,NEG,IS2404_NEG
,-38.34035208,144.7310519,,,,,,1,,NA,SORR182,1,Summer,NEG,IS2404_NEG
